"Study ID","Citation","Data Source Notes","SAR_type","Island_Type","Lat","Lon","Study location","Ecoregion","Mean_Annual_Precip","Number of islands in study","Min_A","Max_A","Range(order of magnitude)","Total_SR","C","Z","Std_Error","R2","Notes","z_origin","Exotic_percent","Numb_exotic_sp","Isolation_km"
"1","Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",NA,"Insular","Continental",41.248987,-72.757859,"The Thimble Islands","Nearctic",1155,9,161,43548,2.432142338,35,4.46,0.42,0.16,0.39,NA,"self",0.028571429,1,0.342
"2","Badano, E. I., Regidor, H. A., Núñez, H. A., Acosta, R., & Gianoli, E. (2005). Species richness and structure of ant communities in a dynamic archipelago: Effects of island area and age. Journal of Biogeography, 32(2), 221–227. https://doi.org/10.1111/j.1365-2699.2004.01174.x",NA,"Mainland","Mainland Island",-25.313081,-65.445719,"Argentina","Neotropic",518,9,1686,625163,2.569135696,23,2.89,0.19,0.056,0.63,NA,"self",0.043478261,1,NA
"3","Clark, A. T., Rykken, J. J., & Farrell, B. D. (2011). The effects of biogeography on ant diversity and activity on the Boston Harbor islands, Massachusetts, U.S.A. PLoS ONE, 6(11).",NA,"Insular","Continental",42.3602,-71.0524,"Boston Harbor Islands","Nearctic",1121,9,10000,1200000,2.079181246,48,3.45,0.07,0.05,0.11,NA,"self",0.083333333,4,0.64
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844784",NA,"Insular","Continental",53.433934,5.507761,"Frisian Islands","Palearctic",801,18,240000,1.62e+08,2.829303773,25,0.75,0.54,0.07,0.75,NA,"self",0,0,4.09
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental",-6.040862,106.584072,"Kepulauan Seribu","Indomalaya",1780,18,10000,528700,1.72320931,48,3.51,0.13,0.05,0.22,NA,"self",0.208333333,10,2.2
"6","Dean, W. R. J., & Bond, W. J. (1990). Evidence for rapid faunal changes on islands in a man-made lake. Oecologia, 83(3), 388–391. https://doi.org/10.1007/BF00317565",NA,"Mainland","Mainland Island",-30.6008,25.4945,"hendrik verwoerd dam","Afrotropic",398,6,10000,450000,1.653212514,19,2.25,0.32,0.13,0.42,NA,"self",0,0,NA
"8","Cuissi, R. G., Lasmar, C. J., Moretti, T. S., Schmidt, F. A., Fernandes, W. D., Falleiros, A. B., Schoereder, J. H., & Ribas, C. R. (2015). Ant community in natural fragments of the Brazilian wetland: species–area relation and isolation. Journal of Insect Conservation, 19(3), 531–537. https://doi.org/10.1007/s10841-015-9774-5",NA,"Mainland","Mainland Island",-20.983333,-55.183333,"Corumba, County, Brazil","Neotropic",1411,8,1200,6075,0.704365036,71,7.25,0.67,0.18,0.66,NA,"self",NA,NA,NA
"10","Schoereder, J. H., Galbiati, C., Ribas, C. R., Sobrinho, T. G., Sperber, C. F., DeSouza, O., & Lopes-Andrade, C. (2004). Should we use proportional sampling for species-area studies? Journal of Biogeography, 31(8), 1219–1226. https://doi.org/10.1111/j.1365-2699.2004.01113.x",NA,"Mainland","Mainland Island",-20.75,-42.833333,"Vicosam, Brazil","Neotropic",1267,17,3.21,93.37,1.463702326,NA,9.17,0.53,0.03481,0.93,NA,"self",NA,NA,NA
"11","Wetterer, J. K. (2002). Ants of Tonga. Pacific Science, 56(2), 125–135. https://doi.org/10.1353/psc.2002.0019",NA,"Insular","Oceanic",-21.269657,-175.0435,"Kingdom of Tonga","Oceania",1510,7,8.7e+07,1.8272e+10,2.322266834,53,2.56,0.19,0.08,0.43,NA,"self",0.41509434,22,3262.59
"12","Trainor, C. R., & Andersen, A. N. (2010). The ant fauna of Timor and neighbouring islands: Potential bridges between the disjunct faunas of South East Asia and Australia. Australian Journal of Zoology, 58(3), 133–144. https://doi.org/10.1071/ZO09113",NA,"Insular","Oceanic",-9.8628,124.331,"Timor","Indomalaya",1365,5,1.4e+08,3.0777e+10,2.342098249,154,0.5,0.39,0.113,0.67,NA,"self",0.064935065,10,599.8
