"Study_ID","Citation","Data Source Notes","SAR_TYPE","Island.Type","Study location","Biogeo_realm","Island_area","Species Richness"
"1","Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",NA,"Insular","Continental","The Thimble Islands","Nearctic",161,1
"1","Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",NA,"Insular","Continental","The Thimble Islands","Nearctic",1612,1
"1","Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",NA,"Insular","Continental","The Thimble Islands","Nearctic",968,2
"1","Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",NA,"Insular","Continental","The Thimble Islands","Nearctic",645,2
"1","Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",NA,"Insular","Continental","The Thimble Islands","Nearctic",484,2
"1","Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",NA,"Insular","Continental","The Thimble Islands","Nearctic",484,3
"1","Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",NA,"Insular","Continental","The Thimble Islands","Nearctic",4194,11
"1","Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",NA,"Insular","Continental","The Thimble Islands","Nearctic",3062,12
"1","Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",NA,"Insular","Continental","The Thimble Islands","Nearctic",43548,21
"1","Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",NA,"Insular","Continental","The Thimble Islands","Nearctic",61532,31
"1","Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",NA,"Insular","Continental","The Thimble Islands","Nearctic",1161,17
"1","Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",NA,"Insular","Continental","The Thimble Islands","Nearctic",654,19
"1","Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",NA,"Insular","Continental","The Thimble Islands","Nearctic",208,9
"2","Badano, E. I., Regidor, H. A., Núñez, H. A., Acosta, R., & Gianoli, E. (2005). Species richness and structure of ant communities in a dynamic archipelago: Effects of island area and age. Journal of Biogeography, 32(2), 221–227. https://doi.org/10.1111/j.1365-2699.2004.01174.x",NA,"Mainland","Habitat-Patches","Argentina","Neotropic",5498,5
"2","Badano, E. I., Regidor, H. A., Núñez, H. A., Acosta, R., & Gianoli, E. (2005). Species richness and structure of ant communities in a dynamic archipelago: Effects of island area and age. Journal of Biogeography, 32(2), 221–227. https://doi.org/10.1111/j.1365-2699.2004.01174.x",NA,"Mainland","Habitat-Patches","Argentina","Neotropic",2486,6
"2","Badano, E. I., Regidor, H. A., Núñez, H. A., Acosta, R., & Gianoli, E. (2005). Species richness and structure of ant communities in a dynamic archipelago: Effects of island area and age. Journal of Biogeography, 32(2), 221–227. https://doi.org/10.1111/j.1365-2699.2004.01174.x",NA,"Mainland","Habitat-Patches","Argentina","Neotropic",1686,6
"2","Badano, E. I., Regidor, H. A., Núñez, H. A., Acosta, R., & Gianoli, E. (2005). Species richness and structure of ant communities in a dynamic archipelago: Effects of island area and age. Journal of Biogeography, 32(2), 221–227. https://doi.org/10.1111/j.1365-2699.2004.01174.x",NA,"Mainland","Habitat-Patches","Argentina","Neotropic",23786,7
"2","Badano, E. I., Regidor, H. A., Núñez, H. A., Acosta, R., & Gianoli, E. (2005). Species richness and structure of ant communities in a dynamic archipelago: Effects of island area and age. Journal of Biogeography, 32(2), 221–227. https://doi.org/10.1111/j.1365-2699.2004.01174.x",NA,"Mainland","Habitat-Patches","Argentina","Neotropic",15363,7
"2","Badano, E. I., Regidor, H. A., Núñez, H. A., Acosta, R., & Gianoli, E. (2005). Species richness and structure of ant communities in a dynamic archipelago: Effects of island area and age. Journal of Biogeography, 32(2), 221–227. https://doi.org/10.1111/j.1365-2699.2004.01174.x",NA,"Mainland","Habitat-Patches","Argentina","Neotropic",2487,7
"2","Badano, E. I., Regidor, H. A., Núñez, H. A., Acosta, R., & Gianoli, E. (2005). Species richness and structure of ant communities in a dynamic archipelago: Effects of island area and age. Journal of Biogeography, 32(2), 221–227. https://doi.org/10.1111/j.1365-2699.2004.01174.x",NA,"Mainland","Habitat-Patches","Argentina","Neotropic",52439,8
"2","Badano, E. I., Regidor, H. A., Núñez, H. A., Acosta, R., & Gianoli, E. (2005). Species richness and structure of ant communities in a dynamic archipelago: Effects of island area and age. Journal of Biogeography, 32(2), 221–227. https://doi.org/10.1111/j.1365-2699.2004.01174.x",NA,"Mainland","Habitat-Patches","Argentina","Neotropic",42090,16
"2","Badano, E. I., Regidor, H. A., Núñez, H. A., Acosta, R., & Gianoli, E. (2005). Species richness and structure of ant communities in a dynamic archipelago: Effects of island area and age. Journal of Biogeography, 32(2), 221–227. https://doi.org/10.1111/j.1365-2699.2004.01174.x",NA,"Mainland","Habitat-Patches","Argentina","Neotropic",625163,18
"3","Clark, A. T., Rykken, J. J., & Farrell, B. D. (2011). The effects of biogeography on ant diversity and activity on the Boston Harbor islands, Massachusetts, U.S.A. PLoS ONE, 6(11).",NA,"Insular","Continental","Boston Harbor Islands","Nearctic",70000,22
"3","Clark, A. T., Rykken, J. J., & Farrell, B. D. (2011). The effects of biogeography on ant diversity and activity on the Boston Harbor islands, Massachusetts, U.S.A. PLoS ONE, 6(11).",NA,"Insular","Continental","Boston Harbor Islands","Nearctic",80000,22
"3","Clark, A. T., Rykken, J. J., & Farrell, B. D. (2011). The effects of biogeography on ant diversity and activity on the Boston Harbor islands, Massachusetts, U.S.A. PLoS ONE, 6(11).",NA,"Insular","Continental","Boston Harbor Islands","Nearctic",30000,21
"3","Clark, A. T., Rykken, J. J., & Farrell, B. D. (2011). The effects of biogeography on ant diversity and activity on the Boston Harbor islands, Massachusetts, U.S.A. PLoS ONE, 6(11).",NA,"Insular","Continental","Boston Harbor Islands","Nearctic",350000,21
"3","Clark, A. T., Rykken, J. J., & Farrell, B. D. (2011). The effects of biogeography on ant diversity and activity on the Boston Harbor islands, Massachusetts, U.S.A. PLoS ONE, 6(11).",NA,"Insular","Continental","Boston Harbor Islands","Nearctic",1200000,27
"3","Clark, A. T., Rykken, J. J., & Farrell, B. D. (2011). The effects of biogeography on ant diversity and activity on the Boston Harbor islands, Massachusetts, U.S.A. PLoS ONE, 6(11).",NA,"Insular","Continental","Boston Harbor Islands","Nearctic",10000,25
"3","Clark, A. T., Rykken, J. J., & Farrell, B. D. (2011). The effects of biogeography on ant diversity and activity on the Boston Harbor islands, Massachusetts, U.S.A. PLoS ONE, 6(11).",NA,"Insular","Continental","Boston Harbor Islands","Nearctic",20000,30
"3","Clark, A. T., Rykken, J. J., & Farrell, B. D. (2011). The effects of biogeography on ant diversity and activity on the Boston Harbor islands, Massachusetts, U.S.A. PLoS ONE, 6(11).",NA,"Insular","Continental","Boston Harbor Islands","Nearctic",220000,36
"3","Clark, A. T., Rykken, J. J., & Farrell, B. D. (2011). The effects of biogeography on ant diversity and activity on the Boston Harbor islands, Massachusetts, U.S.A. PLoS ONE, 6(11).",NA,"Insular","Continental","Boston Harbor Islands","Nearctic",540000,38
"3","Clark, A. T., Rykken, J. J., & Farrell, B. D. (2011). The effects of biogeography on ant diversity and activity on the Boston Harbor islands, Massachusetts, U.S.A. PLoS ONE, 6(11).",NA,"Insular","Continental","Boston Harbor Islands","Nearctic",1080000,39
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844784",NA,"Insular","Continental","Frisian Islands","Palearctic",8e+06,6
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844785",NA,"Insular","Continental","Frisian Islands","Palearctic",240000,1
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844786",NA,"Insular","Continental","Frisian Islands","Palearctic",1e+06,1
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844787",NA,"Insular","Continental","Frisian Islands","Palearctic",4e+06,3
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844788",NA,"Insular","Continental","Frisian Islands","Palearctic",1e+07,4
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844789",NA,"Insular","Continental","Frisian Islands","Palearctic",6e+06,5
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844790",NA,"Insular","Continental","Frisian Islands","Palearctic",8e+06,14
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844791",NA,"Insular","Continental","Frisian Islands","Palearctic",1.6e+07,11
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844792",NA,"Insular","Continental","Frisian Islands","Palearctic",36500000,12
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844793",NA,"Insular","Continental","Frisian Islands","Palearctic",1.5e+07,12
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844794",NA,"Insular","Continental","Frisian Islands","Palearctic",3.3e+07,13
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844795",NA,"Insular","Continental","Frisian Islands","Palearctic",8e+06,14
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844796",NA,"Insular","Continental","Frisian Islands","Palearctic",5.6e+07,17
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844797",NA,"Insular","Continental","Frisian Islands","Palearctic",2.4e+07,18
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844798",NA,"Insular","Continental","Frisian Islands","Palearctic",1.9e+07,18
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844799",NA,"Insular","Continental","Frisian Islands","Palearctic",1.62e+08,17
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844800",NA,"Insular","Continental","Frisian Islands","Palearctic",2.6e+07,18
"4","Boomsma, J. J., Mabelis, A. A., Verbeek, M. G. M., & Los, E. C. (1987). Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Journal of Biogeography, 14(1), 21. https://doi.org/10.2307/2844801",NA,"Insular","Continental","Frisian Islands","Palearctic",9.6e+07,19
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental","Kepulauan Seribu","Indomalaya",82300,14
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental","Kepulauan Seribu","Indomalaya",10000,18
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental","Kepulauan Seribu","Indomalaya",214200,19
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental","Kepulauan Seribu","Indomalaya",216500,21
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental","Kepulauan Seribu","Indomalaya",227400,25
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental","Kepulauan Seribu","Indomalaya",57600,26
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental","Kepulauan Seribu","Indomalaya",197100,27
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental","Kepulauan Seribu","Indomalaya",58000,27
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental","Kepulauan Seribu","Indomalaya",264300,28
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental","Kepulauan Seribu","Indomalaya",86200,28
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental","Kepulauan Seribu","Indomalaya",96300,28
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental","Kepulauan Seribu","Indomalaya",89600,28
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental","Kepulauan Seribu","Indomalaya",391200,29
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental","Kepulauan Seribu","Indomalaya",226500,29
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental","Kepulauan Seribu","Indomalaya",199200,31
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental","Kepulauan Seribu","Indomalaya",164300,33
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental","Kepulauan Seribu","Indomalaya",458000,34
"5","Rizali, A., Lohman, D. J., Buchori, D., Prasetyo, L. B., Triwidodo, H., Bos, M. M., Yamane, S., & Schulze, C. H. (2010). Ant communities on small tropical islands: Effects of island size",NA,"Insular","Continental","Kepulauan Seribu","Indomalaya",528700,35
"6","Dean, W. R. J., & Bond, W. J. (1990). Evidence for rapid faunal changes on islands in a man-made lake. Oecologia, 83(3), 388–391. https://doi.org/10.1007/BF00317565",NA,"Mainland","Habitat-Patches","hendrik verwoerd dam","Afrotropic",28000,1
"6","Dean, W. R. J., & Bond, W. J. (1990). Evidence for rapid faunal changes on islands in a man-made lake. Oecologia, 83(3), 388–391. https://doi.org/10.1007/BF00317566",NA,"Mainland","Habitat-Patches","hendrik verwoerd dam","Afrotropic",155000,4
"6","Dean, W. R. J., & Bond, W. J. (1990). Evidence for rapid faunal changes on islands in a man-made lake. Oecologia, 83(3), 388–391. https://doi.org/10.1007/BF00317567",NA,"Mainland","Habitat-Patches","hendrik verwoerd dam","Afrotropic",39000,2
"6","Dean, W. R. J., & Bond, W. J. (1990). Evidence for rapid faunal changes on islands in a man-made lake. Oecologia, 83(3), 388–391. https://doi.org/10.1007/BF00317568",NA,"Mainland","Habitat-Patches","hendrik verwoerd dam","Afrotropic",450000,14
"6","Dean, W. R. J., & Bond, W. J. (1990). Evidence for rapid faunal changes on islands in a man-made lake. Oecologia, 83(3), 388–391. https://doi.org/10.1007/BF00317569",NA,"Mainland","Habitat-Patches","hendrik verwoerd dam","Afrotropic",10000,2
"6","Dean, W. R. J., & Bond, W. J. (1990). Evidence for rapid faunal changes on islands in a man-made lake. Oecologia, 83(3), 388–391. https://doi.org/10.1007/BF00317570",NA,"Mainland","Habitat-Patches","hendrik verwoerd dam","Afrotropic",10000,8
"6","Dean, W. R. J., & Bond, W. J. (1990). Evidence for rapid faunal changes on islands in a man-made lake. Oecologia, 83(3), 388–391. https://doi.org/10.1007/BF00317571",NA,"Mainland","Habitat-Patches","hendrik verwoerd dam","Afrotropic",380000,9
"6","Dean, W. R. J., & Bond, W. J. (1990). Evidence for rapid faunal changes on islands in a man-made lake. Oecologia, 83(3), 388–391. https://doi.org/10.1007/BF00317572",NA,"Mainland","Habitat-Patches","hendrik verwoerd dam","Afrotropic",150000,4
